日期,星期,可售房量,已售房晚,OCC,客房收入,ADR,RevPAR,餐饮收入,其他收入,总营收,需求等级,是否节假日,事件,已知异常
2025-01-01,三,320,247,77.2,151117.0,612.0,472.0,99784.0,10651.0,261553.0,D1,是,元旦,
2025-01-02,四,320,140,43.8,66466.0,475.0,208.0,34417.0,6113.0,106996.0,D4,否,,
2025-01-03,五,320,164,51.2,83196.0,507.0,260.0,51483.0,5037.0,139715.0,D4,否,,
2025-01-04,六,320,169,52.8,84693.0,501.0,265.0,47503.0,6225.0,138422.0,D4,否,,
2025-01-05,日,320,166,51.9,79093.0,476.0,247.0,47072.0,5124.0,131289.0,D4,否,,
2025-01-06,一,320,137,42.8,63066.0,460.0,197.0,37781.0,6082.0,106930.0,D4,否,,
2025-01-07,二,320,136,42.5,63622.0,468.0,199.0,37985.0,4220.0,105828.0,D4,否,,
2025-01-08,三,320,140,43.8,63650.0,455.0,199.0,35971.0,4987.0,104607.0,D4,否,,
2025-01-09,四,320,152,47.5,69633.0,458.0,218.0,36893.0,4615.0,111140.0,D4,否,,
2025-01-10,五,320,153,47.8,76366.0,499.0,239.0,42698.0,5026.0,124089.0,D4,否,,
2025-01-11,六,320,184,57.5,91861.0,499.0,287.0,49328.0,9026.0,150215.0,D4,否,,
2025-01-12,日,320,159,49.7,72972.0,459.0,228.0,37784.0,7112.0,117868.0,D4,否,,
2025-01-13,一,320,138,43.1,60620.0,439.0,189.0,31091.0,5463.0,97174.0,D4,否,,
2025-01-14,二,320,143,44.7,67979.0,475.0,212.0,34494.0,6719.0,109192.0,D4,否,,
2025-01-15,三,320,138,43.1,62074.0,450.0,194.0,33484.0,5209.0,100767.0,D4,否,,
2025-01-16,四,320,155,48.4,70499.0,455.0,220.0,40496.0,6133.0,117128.0,D4,否,,
2025-01-17,五,320,151,47.2,73686.0,488.0,230.0,43023.0,5464.0,122173.0,D4,否,,
2025-01-18,六,320,172,53.8,88592.0,515.0,277.0,50066.0,6093.0,144751.0,D4,否,,
2025-01-19,日,320,151,47.2,70420.0,466.0,220.0,38202.0,4377.0,113000.0,D4,否,,
2025-01-20,一,320,136,42.5,62592.0,460.0,196.0,36725.0,5622.0,104939.0,D4,否,,
2025-01-21,二,320,146,45.6,66797.0,458.0,209.0,34687.0,5787.0,107271.0,D4,否,,
2025-01-22,三,320,151,47.2,68021.0,450.0,213.0,41452.0,5118.0,114591.0,D4,否,,
2025-01-23,四,320,141,44.1,63725.0,452.0,199.0,33995.0,6315.0,104036.0,D4,否,,
2025-01-24,五,320,163,50.9,78925.0,484.0,247.0,46274.0,6115.0,131313.0,D4,否,,
2025-01-25,六,320,183,57.2,92447.0,505.0,289.0,51319.0,7403.0,151169.0,D4,否,,
2025-01-26,日,320,156,48.8,75891.0,486.0,237.0,41519.0,5922.0,123332.0,D4,否,,
2025-01-27,一,320,132,41.2,62518.0,474.0,195.0,37118.0,5919.0,105555.0,D4,否,,
2025-01-28,二,320,145,45.3,68277.0,471.0,213.0,40681.0,4668.0,113626.0,D4,否,,
2025-01-29,三,320,218,68.1,134687.0,618.0,421.0,84351.0,10155.0,229193.0,D1,是,春节,
2025-01-30,四,320,235,73.4,148378.0,631.0,464.0,88235.0,13786.0,250399.0,D1,是,春节,
2025-01-31,五,320,264,82.5,169946.0,644.0,531.0,123742.0,14818.0,308506.0,D1,是,春节,
2025-02-01,六,320,310,96.9,211190.0,681.0,660.0,133388.0,20627.0,365206.0,D1,是,春节,
2025-02-02,日,320,260,81.2,171937.0,661.0,537.0,110915.0,10545.0,293397.0,D1,是,春节,
2025-02-03,一,320,235,73.4,145075.0,617.0,453.0,97700.0,14387.0,257162.0,D1,是,春节,
2025-02-04,二,320,240,75.0,149873.0,624.0,468.0,106973.0,10417.0,267262.0,D1,是,春节,
2025-02-05,三,320,157,49.1,71402.0,455.0,223.0,41697.0,5743.0,118841.0,D4,否,,
2025-02-06,四,320,152,47.5,73964.0,487.0,231.0,45347.0,5544.0,124855.0,D4,否,,
2025-02-07,五,320,162,50.6,85012.0,525.0,266.0,43132.0,5285.0,133429.0,D4,否,,
2025-02-08,六,320,197,61.6,99763.0,506.0,312.0,53758.0,9928.0,163449.0,D4,否,,
2025-02-09,日,320,172,53.8,81872.0,476.0,256.0,44491.0,5672.0,132035.0,D4,否,,
2025-02-10,一,320,149,46.6,67421.0,452.0,211.0,40328.0,5281.0,113029.0,D4,否,,
2025-02-11,二,320,149,46.6,73254.0,492.0,229.0,41519.0,4560.0,119333.0,D4,否,,
2025-02-12,三,320,160,50.0,78891.0,493.0,247.0,44425.0,6223.0,129538.0,D4,否,,
2025-02-13,四,320,164,51.2,77188.0,471.0,241.0,47520.0,6782.0,131490.0,D4,否,,
2025-02-14,五,320,163,50.9,79393.0,487.0,248.0,44690.0,4863.0,128946.0,D4,否,,
2025-02-15,六,320,192,60.0,102811.0,535.0,321.0,57410.0,7217.0,167438.0,D4,否,,
2025-02-16,日,320,163,50.9,79702.0,489.0,249.0,40184.0,7717.0,127603.0,D4,否,,
2025-02-17,一,320,131,40.9,60728.0,464.0,190.0,42822.0,4940.0,108490.0,D4,否,,低谷
2025-02-18,二,320,146,45.6,67488.0,462.0,211.0,36384.0,4753.0,108625.0,D4,否,,
2025-02-19,三,320,146,45.6,71182.0,488.0,222.0,40492.0,6527.0,118200.0,D4,否,,
2025-02-20,四,320,155,48.4,75514.0,487.0,236.0,45829.0,7136.0,128480.0,D4,否,,
