日期,细分代码,细分名称,房晚,房晚占比,客房收入,平均ADR
2025-01-01,FIT-WI,上门散客,20,8.1,13997.0,700.0
2025-01-01,FIT-DIR,官网小程序直销,45,18.2,28628.0,636.0
2025-01-01,FIT-OTA,OTA散客,80,32.4,46716.0,584.0
2025-01-01,CORP,协议公司客户,49,19.8,25561.0,522.0
2025-01-01,LOY,会员忠诚计划,33,13.4,18283.0,554.0
2025-01-01,GRP,团队旅游会议,21,8.5,9712.0,462.0
2025-01-01,LNG,长住客,5,2.0,1835.0,367.0
2025-01-02,FIT-WI,上门散客,12,8.6,6404.0,534.0
2025-01-02,FIT-DIR,官网小程序直销,22,15.7,11395.0,518.0
2025-01-02,FIT-OTA,OTA散客,47,33.6,21237.0,452.0
2025-01-02,CORP,协议公司客户,29,20.7,11540.0,398.0
2025-01-02,LOY,会员忠诚计划,16,11.4,7035.0,440.0
2025-01-02,GRP,团队旅游会议,11,7.9,3948.0,359.0
2025-01-02,LNG,长住客,3,2.1,889.0,296.0
2025-01-03,FIT-WI,上门散客,14,8.5,8537.0,610.0
2025-01-03,FIT-DIR,官网小程序直销,28,17.1,14942.0,534.0
2025-01-03,FIT-OTA,OTA散客,50,30.5,24238.0,485.0
2025-01-03,CORP,协议公司客户,33,20.1,13965.0,423.0
2025-01-03,LOY,会员忠诚计划,19,11.6,9020.0,475.0
2025-01-03,GRP,团队旅游会议,13,7.9,4852.0,373.0
2025-01-03,LNG,长住客,4,2.4,1244.0,311.0
2025-01-04,FIT-WI,上门散客,14,8.3,7922.0,566.0
2025-01-04,FIT-DIR,官网小程序直销,26,15.4,14233.0,547.0
2025-01-04,FIT-OTA,OTA散客,54,32.0,27184.0,503.0
2025-01-04,CORP,协议公司客户,39,23.1,16443.0,422.0
2025-01-04,LOY,会员忠诚计划,19,11.2,8925.0,470.0
2025-01-04,GRP,团队旅游会议,13,7.7,4581.0,352.0
2025-01-04,LNG,长住客,4,2.4,1244.0,311.0
2025-01-05,FIT-WI,上门散客,15,9.0,8358.0,557.0
2025-01-05,FIT-DIR,官网小程序直销,26,15.7,13046.0,502.0
2025-01-05,FIT-OTA,OTA散客,50,30.1,23668.0,473.0
2025-01-05,CORP,协议公司客户,39,23.5,16064.0,412.0
2025-01-05,LOY,会员忠诚计划,18,10.8,7939.0,441.0
2025-01-05,GRP,团队旅游会议,15,9.0,5287.0,352.0
2025-01-05,LNG,长住客,3,1.8,850.0,283.0
2025-01-06,FIT-WI,上门散客,11,8.0,5752.0,523.0
2025-01-06,FIT-DIR,官网小程序直销,21,15.3,10489.0,499.0
2025-01-06,FIT-OTA,OTA散客,45,32.8,19503.0,433.0
2025-01-06,CORP,协议公司客户,29,21.2,10834.0,374.0
2025-01-06,LOY,会员忠诚计划,18,13.1,7889.0,438.0
2025-01-06,GRP,团队旅游会议,12,8.8,3950.0,329.0
2025-01-06,LNG,长住客,3,2.2,815.0,272.0
2025-01-07,FIT-WI,上门散客,12,8.8,6539.0,545.0
2025-01-07,FIT-DIR,官网小程序直销,22,16.2,10895.0,495.0
2025-01-07,FIT-OTA,OTA散客,40,29.4,18669.0,467.0
2025-01-07,CORP,协议公司客户,28,20.6,10706.0,382.0
2025-01-07,LOY,会员忠诚计划,17,12.5,7407.0,436.0
2025-01-07,GRP,团队旅游会议,11,8.1,3745.0,340.0
2025-01-07,LNG,长住客,3,2.2,887.0,296.0
2025-01-08,FIT-WI,上门散客,11,7.9,6021.0,547.0
2025-01-08,FIT-DIR,官网小程序直销,25,17.9,12381.0,495.0
2025-01-08,FIT-OTA,OTA散客,40,28.6,17829.0,446.0
2025-01-08,CORP,协议公司客户,32,22.9,12728.0,398.0
2025-01-08,LOY,会员忠诚计划,17,12.1,7514.0,442.0
2025-01-08,GRP,团队旅游会议,12,8.6,3853.0,321.0
2025-01-08,LNG,长住客,3,2.1,815.0,272.0
2025-01-09,FIT-WI,上门散客,13,8.6,7051.0,542.0
2025-01-09,FIT-DIR,官网小程序直销,27,17.8,13075.0,484.0
2025-01-09,FIT-OTA,OTA散客,49,32.2,21370.0,436.0
2025-01-09,CORP,协议公司客户,34,22.4,13509.0,397.0
2025-01-09,LOY,会员忠诚计划,17,11.2,7496.0,441.0
2025-01-09,GRP,团队旅游会议,12,7.9,3988.0,332.0
2025-01-09,LNG,长住客,3,2.0,845.0,282.0
2025-01-10,FIT-WI,上门散客,13,8.5,7552.0,581.0
2025-01-10,FIT-DIR,官网小程序直销,26,17.0,13714.0,527.0
2025-01-10,FIT-OTA,OTA散客,48,31.4,22485.0,468.0
2025-01-10,CORP,协议公司客户,32,20.9,12932.0,404.0
2025-01-10,LOY,会员忠诚计划,18,11.8,8683.0,482.0
2025-01-10,GRP,团队旅游会议,11,7.2,3860.0,351.0
2025-01-10,LNG,长住客,3,2.0,914.0,305.0
2025-01-11,FIT-WI,上门散客,16,8.7,9062.0,566.0
2025-01-11,FIT-DIR,官网小程序直销,31,16.8,15716.0,507.0
