入住日,星期,提前天数,窗口分档,在手房晚,去年同期同窗口在手,去年同期最终房晚,预测增量,预测OCC,目标OCC,Pickup偏差,需求等级,事件
2026-03-01,日,90,>60天,2,2,259,321,99.0,80.8,17.4,D3,
2026-03-02,一,89,>60天,2,2,218,218,68.8,68.1,-2.5,D3,
2026-03-03,二,88,>60天,2,3,223,191,60.3,69.6,-20.8,D3,
2026-03-04,三,87,>60天,4,3,225,251,79.7,70.3,19.7,D3,
2026-03-05,四,86,>60天,4,4,230,230,73.1,71.8,-0.8,D3,
2026-03-06,五,85,>60天,5,5,251,238,75.9,78.4,-6.8,D3,
2026-03-07,六,84,>60天,7,8,288,253,81.2,90.1,-11.3,D3,
2026-03-08,日,83,>60天,8,8,259,246,79.4,80.8,-0.4,D3,
2026-03-09,一,82,>60天,8,7,218,257,82.8,68.1,15.6,D3,
2026-03-10,二,81,>60天,7,8,223,202,65.3,69.6,-11.0,D3,
2026-03-11,三,80,>60天,11,10,225,240,78.4,70.3,13.8,D3,
2026-03-12,四,79,>60天,11,11,230,234,76.6,71.8,1.3,D3,
2026-03-13,五,78,>60天,12,13,251,221,72.8,78.4,-7.9,D3,
2026-03-14,六,77,>60天,19,16,288,333,99.0,90.1,18.6,D3,
2026-03-15,日,76,>60天,16,16,259,241,80.3,80.8,-1.1,D3,
2026-03-16,一,75,>60天,13,15,218,184,61.6,68.1,-10.4,D3,
2026-03-17,二,74,>60天,15,18,223,192,64.7,69.6,-15.9,D3,
2026-03-18,三,73,>60天,40,24,292,455,99.0,91.4,67.9,D1,滨江动漫节
2026-03-19,四,72,>60天,46,27,299,463,99.0,93.3,68.8,D1,滨江动漫节
2026-03-20,五,71,>60天,23,25,251,217,75.0,78.4,-6.2,D3,
2026-03-21,六,70,>60天,32,28,288,288,99.0,90.1,12.7,D3,
2026-03-22,日,69,>60天,27,27,259,211,74.4,80.8,0.7,D3,
2026-03-23,一,68,>60天,20,26,218,151,53.4,68.1,-21.2,D3,
2026-03-24,二,67,>60天,30,28,223,219,77.8,69.6,7.3,D3,
2026-03-25,三,66,>60天,28,28,225,198,70.6,70.3,1.7,D3,
2026-03-26,四,65,>60天,30,33,230,165,60.9,71.8,-9.4,D3,
2026-03-27,五,64,>60天,34,39,251,169,63.4,78.4,-14.0,D3,
2026-03-28,六,63,>60天,43,44,288,263,95.6,90.1,-2.0,D3,
2026-03-29,日,62,>60天,50,45,259,251,94.1,80.8,12.0,D3,
2026-03-30,一,61,>60天,36,40,229,171,64.7,71.5,-10.0,D3,
2026-03-31,二,60,31-60天,48,45,234,180,71.2,73.0,6.6,D3,
2026-04-01,三,59,31-60天,49,48,249,225,85.6,77.9,2.4,D3,
2026-04-02,四,58,31-60天,51,54,255,177,71.2,79.5,-6.0,D3,
2026-04-03,五,57,31-60天,74,61,278,259,99.0,86.9,20.6,D3,
2026-04-04,六,56,31-60天,77,78,371,264,99.0,116.0,-1.5,D2,清明
2026-04-05,日,55,31-60天,59,75,333,201,81.2,104.0,-21.0,D2,清明
2026-04-06,一,54,31-60天,57,67,295,213,84.4,92.0,-14.4,D2,清明
2026-04-07,二,53,31-60天,61,62,247,173,73.1,77.1,-1.4,D3,
2026-04-08,三,52,31-60天,69,62,249,217,89.4,77.9,12.0,D3,
2026-04-09,四,51,31-60天,57,69,255,154,65.9,79.5,-17.7,D3,
2026-04-10,五,50,31-60天,87,82,278,196,88.4,86.9,6.1,D3,
2026-04-11,六,49,31-60天,99,100,353,249,99.0,110.3,-1.0,D2,
2026-04-12,日,48,31-60天,51,98,317,138,59.1,98.9,-48.3,D2,
2026-04-13,一,47,31-60天,86,78,241,163,77.8,75.4,10.2,D3,
2026-04-14,二,46,31-60天,80,80,247,152,72.5,77.1,0.5,D3,
2026-04-15,三,45,31-60天,68,86,249,140,65.0,77.9,-20.8,D3,
2026-04-16,四,44,31-60天,80,93,255,134,66.9,79.5,-13.9,D3,
2026-04-17,五,43,31-60天,102,104,278,163,82.8,86.9,-1.8,D3,
2026-04-18,六,42,31-60天,132,124,353,263,99.0,110.3,6.3,D2,
2026-04-19,日,41,31-60天,108,125,317,183,90.9,98.9,-13.5,D2,
2026-04-20,一,40,31-60天,101,92,241,164,82.8,75.4,10.2,D3,
2026-04-21,二,39,31-60天,94,95,247,155,77.8,77.1,-1.1,D3,
2026-04-22,三,38,31-60天,122,137,332,179,94.1,103.6,-10.6,D1,云栖大会
2026-04-23,四,37,31-60天,165,143,339,229,99.0,105.8,15.1,D1,云栖大会
2026-04-24,五,36,31-60天,140,141,328,196,99.0,102.6,-0.5,D2,云栖大会
2026-04-25,六,35,31-60天,135,164,353,164,93.4,110.3,-17.6,D2,
2026-04-26,日,34,31-60天,141,155,317,146,89.7,98.9,-9.1,D2,
2026-04-27,一,33,31-60天,114,116,241,126,75.0,75.4,-1.4,D3,
2026-04-28,二,32,31-60天,133,125,247,132,82.8,77.1,6.4,D3,
2026-04-29,三,31,31-60天,119,127,249,122,75.3,77.9,-6.0,D3,
2026-04-30,四,30,15-30天,160,136,255,129,90.3,79.5,17.8,D3,
2026-05-01,五,29,15-30天,204,206,393,193,99.0,122.9,-1.1,D1,五一
2026-05-02,六,28,15-30天,195,230,430,162,99.0,134.5,-15.3,D1,五一
2026-05-03,日,27,15-30天,271,228,386,199,99.0,120.6,18.7,D1,五一
2026-05-04,一,26,15-30天,182,187,341,165,99.0,106.6,-2.5,D1,五一
2026-05-05,二,25,15-30天,178,219,349,115,91.6,109.0,-18.6,D1,五一
2026-05-06,三,24,15-30天,144,156,255,93,74.1,79.8,-7.4,D3,
2026-05-07,四,23,15-30天,159,159,261,101,81.2,81.5,-0.3,D3,
2026-05-08,五,22,15-30天,202,190,285,93,92.2,89.0,6.5,D3,
2026-05-09,六,21,15-30天,209,230,362,115,99.0,113.0,-9.1,D2,
2026-05-10,日,20,15-30天,246,214,324,127,99.0,101.3,14.7,D2,
2026-05-11,一,19,15-30天,164,164,247,82,76.9,77.3,0.1,D3,
2026-05-12,二,18,15-30天,157,172,253,77,73.1,79.0,-8.6,D3,
2026-05-13,三,17,15-30天,221,186,255,77,93.1,79.8,19.0,D3,
2026-05-14,四,16,15-30天,195,192,261,74,84.1,81.5,1.4,D3,
2026-05-15,五,15,15-30天,184,222,285,56,75.0,89.0,-17.1,D3,
2026-05-16,六,14,8-14天,239,265,362,95,99.0,113.0,-9.9,D2,
2026-05-17,日,13,8-14天,240,238,324,80,99.0,101.3,1.0,D2,
2026-05-18,一,12,8-14天,215,195,247,59,85.6,77.3,10.5,D3,
2026-05-19,二,11,8-14天,157,200,253,47,63.7,79.0,-21.5,D3,
2026-05-20,三,10,8-14天,233,205,255,53,89.4,79.8,13.8,D3,
2026-05-21,四,9,8-14天,207,208,261,53,81.2,81.5,-0.5,D3,
2026-05-22,五,8,8-14天,230,258,285,26,80.0,89.0,-10.8,D3,
2026-05-23,六,7,4-7天,320,322,362,42,99.0,113.0,15.7,D2,
2026-05-24,日,6,4-7天,289,289,324,33,99.0,101.3,-0.0,D2,
2026-05-25,一,5,4-7天,201,235,247,10,65.9,77.3,-14.3,D3,
2026-05-26,二,4,4-7天,198,237,253,13,65.9,79.0,-16.6,D3,
2026-05-27,三,3,0-3天,241,245,255,9,78.1,79.8,-1.7,D3,
2026-05-28,四,2,0-3天,277,244,261,19,92.5,81.5,13.5,D3,
2026-05-29,五,1,0-3天,229,268,285,15,76.2,89.0,-14.5,D3,
