入住日,星期,需求等级,A 江畔万枫酒店,B 滨江希尔顿花园,C 钱塘智选假日,D 星光开元名都,E 云栖亚朵S,竞争组合加权均价,本店SUP BAR,ARI
2026-03-01,日,D3,654,749,599,926,630,725,800,110.0
2026-03-02,一,D3,662,694,553,861,648,693,790,113.6
2026-03-03,二,D3,664,691,552,868,628,691,780,112.5
2026-03-04,三,D3,647,679,551,861,628,683,610,89.6
2026-03-05,四,D3,627,658,566,845,609,672,580,86.3
2026-03-06,五,D3,652,689,551,906,602,694,630,90.7
2026-03-07,六,D3,644,749,559,941,656,721,680,93.7
2026-03-08,日,D3,696,691,609,959,651,737,740,100.7
2026-03-09,一,D3,651,666,546,908,645,695,690,99.4
2026-03-10,二,D3,643,682,570,898,644,699,700,100.8
2026-03-11,三,D3,625,704,554,889,614,689,760,109.7
2026-03-12,四,D3,653,691,579,914,598,702,830,118.8
2026-03-13,五,D3,643,720,539,878,624,691,790,114.3
2026-03-14,六,D3,654,716,570,933,668,720,580,80.7
2026-03-15,日,D3,651,707,561,944,675,719,580,80.9
2026-03-16,一,D3,665,718,567,894,614,704,650,91.8
2026-03-17,二,D3,659,682,543,896,622,693,630,90.3
2026-03-18,三,D1,822,838,707,1105,771,864,870,101.0
2026-03-19,四,D1,855,902,683,1152,778,890,890,100.1
2026-03-20,五,D3,627,715,533,904,591,687,720,104.3
2026-03-21,六,D3,661,742,586,951,667,734,890,121.5
2026-03-22,日,D3,706,686,560,906,656,714,780,109.4
2026-03-23,一,D3,674,656,577,841,636,687,810,117.8
2026-03-24,二,D3,619,722,554,922,629,702,580,82.2
2026-03-25,三,D3,644,660,577,868,637,688,550,79.3
2026-03-26,四,D3,679,718,557,872,643,703,660,93.8
2026-03-27,五,D3,652,698,562,840,591,679,640,93.6
2026-03-28,六,D3,681,706,611,899,661,723,720,99.1
2026-03-29,日,D3,653,686,594,905,634,707,690,98.2
2026-03-30,一,D3,644,737,557,960,616,718,730,101.8
2026-03-31,二,D3,663,735,609,910,641,724,800,110.8
2026-04-01,三,D3,628,675,542,879,631,682,820,120.8
2026-04-02,四,D3,647,716,582,861,608,694,770,110.8
2026-04-03,五,D3,650,718,555,852,609,687,580,84.7
2026-04-04,六,D2,750,851,693,1003,705,813,710,87.3
2026-04-05,日,D2,774,798,672,994,721,804,760,94.2
2026-04-06,一,D2,808,843,658,1004,727,820,740,90.3
2026-04-07,二,D3,670,716,574,848,642,698,700,99.9
2026-04-08,三,D3,639,662,551,892,613,685,690,100.7
2026-04-09,四,D3,627,695,567,867,634,688,680,99.4
2026-04-10,五,D3,640,714,558,915,611,701,800,113.6
2026-04-11,六,D2,731,770,659,1030,738,799,880,109.6
2026-04-12,日,D2,730,766,605,964,727,768,850,111.0
2026-04-13,一,D3,660,665,540,863,598,677,600,89.1
2026-04-14,二,D3,644,679,560,844,632,681,560,82.2
2026-04-15,三,D3,657,669,539,908,592,688,650,94.8
2026-04-16,四,D3,643,686,540,867,627,683,630,92.9
2026-04-17,五,D3,659,695,562,843,611,684,700,102.7
2026-04-18,六,D2,721,811,640,1018,707,793,820,103.2
2026-04-19,日,D2,771,771,635,1023,707,796,790,99.4
2026-04-20,一,D3,640,701,568,889,608,694,830,120.2
2026-04-21,二,D3,651,659,540,852,494,657,730,111.5
2026-04-22,三,D1,859,919,720,1151,800,905,1020,112.6
2026-04-23,四,D1,865,863,689,1131,773,881,740,84.1
2026-04-24,五,D2,773,756,624,1030,730,797,650,81.6
2026-04-25,六,D2,766,778,615,962,724,779,710,91.4
2026-04-26,日,D2,734,796,638,972,739,785,750,94.9
2026-04-27,一,D3,673,672,563,896,624,699,700,99.9
2026-04-28,二,D3,621,683,569,880,605,684,690,100.3
2026-04-29,三,D3,676,692,549,908,634,704,740,104.7
2026-04-30,四,D3,673,724,581,914,606,714,860,120.7
2026-05-01,五,D1,828,891,727,1108,833,889,1010,114.1
2026-05-02,六,D1,868,929,722,1138,827,910,1030,112.9
2026-05-03,日,D1,841,929,713,1163,846,911,740,81.2
2026-05-04,一,D1,894,933,747,1130,835,920,790,85.9
2026-05-05,二,D1,833,952,737,1195,821,924,850,91.6
2026-05-06,三,D3,674,722,566,877,634,705,660,93.4
2026-05-07,四,D3,675,703,550,876,613,695,700,101.4
